name,adjoe,adjde,barthag,record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeastern,102.02576303101,104.34205396247,0.43581486749922,4–6,4,10,50.9,51.3,21,27.2,16.9,17.4,26.3,27.7,66.2,51.1,49.6,33.6,36,12.5,4.6,57.6,54.4,39.7,39.5,66.4,,,,2024,,,,-4.3,72.7,74.2
"Robert Morris",96.12551999992,112.80870482891,0.13699870778154,2–8,2,10,48.4,49.8,23.1,36.7,19.4,11.2,30.3,29.2,67.1,46.8,50.6,33.5,32.1,8.9,7,56.3,48.1,47,34.7,66.2,,,,2024,,,,-6.5,72.3,74.2
Seattle,103.35552158024,99.317662903004,0.61260837552743,6–4,6,10,52.7,46.1,28.6,29.2,18.4,17.2,27.6,22.7,67.8,52.2,47.1,35.7,29.2,6.8,8.1,51.4,51.1,39,31.7,67,,,,2024,,,,-2.5,74.7,73.2
Villanova,106.93407213686,93.78384049821,0.81891729121262,5–5,5,10,51.5,48,22.7,21.8,14.8,14.8,17.7,22.1,62.6,50.6,45.1,34.9,33.8,10.2,13,57.8,61.6,50,52.4,63.3,,,,2024,,,,-0.8,77.9,79.5
Howard,104.53519,115.89059,0.23399084239552,7–3,7,10,51.4,50.6,46.8,38.3,22.2,16.7,36.8,26.9,67.6,47.1,49.9,38.4,34.9,7.8,13.3,62.7,44,41.2,26.8,67.6,,,,2024,,,,-2.6,79.2,72.2
"Utah St.",115.83364714838,103.9254435868,0.77687292146788,7–3,7,10,53.5,51.5,41.3,26.9,14.4,15.2,23.7,30.6,67.6,54.2,54.5,34.8,30.8,10.1,6.2,55.7,54.7,36.4,36.1,68.4,,,,2024,,,,0.9,70.1,75.4
Marist,97.580118085106,100.97627170213,0.40289052488359,6–4,6,10,50,46.6,36.8,32,17.9,17.6,24.1,25.9,64.3,47.1,46,36.9,31.7,7.6,8.2,57.5,42.3,35.2,36.9,64.1,,,,2024,,,,-3,74.3,68.2
Toledo,112.78552056738,110.2818122695,0.56418463805067,6–4,6,10,54,53.7,34,28.8,14.6,17.5,28.7,28,70,51.3,54.8,40.2,34.5,3.6,12.1,46.4,44.6,29.9,36.4,70.5,,,,2024,,,,-2.7,74.2,71.3
Denver,102.2114994672,114.74532944832,0.20912364056607,4–6,4,10,50.9,54,29.7,35.1,13.6,14.1,21.5,26.7,68.8,54.8,55.5,30.9,34.5,9,8.1,42.9,43.3,46.1,39.5,70.1,,,,2024,,,,-4.7,67.8,78.2
"Cal St. Northridge",100.78821931227,105.17789737374,0.37983124756727,4–6,4,10,49.1,49.4,34.1,42.7,17.8,18.2,28.7,28.8,71,50.8,48.5,29.6,33.8,8,7.8,50.4,58.8,27,41.5,71.6,,,,2024,,,,-4.6,64.2,75.3
Maryland,110.13893255319,98.641463260964,0.78038053775088,3–7,3,10,47.3,49.9,39.8,38.2,15.9,16.4,27,26.3,66.2,49,51.4,29.4,31.3,7.8,10.9,48.1,48.6,34.6,33,66.2,,,,2024,,,,-2.4,73.5,82
Rice,111.82286339958,113.41978794482,0.45932308484027,2–8,2,10,51.4,53.6,29.8,24.5,14.7,11.9,25.5,30.4,63.6,51,47.7,34.8,41.8,11.5,8.6,53.2,56.6,35.5,39.6,64.6,,,,2024,,,,-5.6,69.9,75.7
"Abilene Christian",104.25907,104.93628,0.48139455214973,7–3,7,10,49.5,51,35.9,33.8,17.6,18.6,28,28.6,67.6,47.4,53.4,36.7,30.5,6.6,6.1,51.4,47.1,26.5,31.8,67.2,,,,2024,,,,-1.4,74.4,64.4
Rider,102.71337028677,105.20903616096,0.4314152494797,7–3,7,10,52.1,46,37.4,29.7,18.1,16.9,25.3,29.8,67,51.2,41.3,36.4,36.9,10.1,10.1,58.4,50,27,33.5,67.5,,,,2024,,,,-2.1,77.3,72.3
"Boston College",113.38307,100.18513,0.80583200909282,5–5,5,10,49.9,47.5,19,27.3,15.4,11.8,29.2,26.4,64.3,47.9,47.4,35.2,31.7,6.9,10.2,51.6,52.7,41.2,38.8,65.8,,,,2024,,,,-0.6,76.3,74.1
Arizona,117.50699739417,91.307137196656,0.94790042434288,7–3,7,10,54.7,45.7,35.9,25.8,17.8,16.1,31.5,25.1,71.8,53.2,46.7,38.2,29.2,10,11.2,62.3,47.1,36.9,34.4,72,,,,2024,,,,0.8,68.2,74.7
"Penn St.",108.15746053706,96.712548743287,0.78350621399493,4–6,4,10,49.5,47.7,36.5,39.9,16.8,17.2,25.4,30.5,69.8,46.8,49.4,36.1,29.3,12.2,9.5,54.3,57.8,36.7,31.8,69.7,,,,2024,,,,-1.4,75.8,77.5
Hawaii,106.20805047711,103.85562360842,0.56404116751675,7–3,7,10,55.3,45.3,39.1,30.7,19.2,13.7,22.8,26.3,67.6,51.6,47.4,40.5,26.1,4.3,8.3,48.4,34.9,40.2,25.5,66.8,,,,2024,,,,-1.9,77.9,70.7
"San Diego",101.18098845947,107.5185892558,0.33210981264178,6–4,6,10,46.6,52.8,36,42.1,14.4,20.8,26.4,37.2,70.6,44.7,53.5,33.3,34.6,11.4,9.3,50.4,67.7,35.7,41.6,71.1,,,,2024,,,,-2,71.1,72.9
"UC Davis",105.37820991403,106.26489443155,0.47592870099624,5–5,5,10,48.6,50.9,34.6,36.6,16.3,19.8,26.1,33.9,66.8,49.4,49.9,31.4,35.4,7.5,7.8,49.4,48.2,37.3,32.8,66.2,,,,2024,,,,-3.5,82.8,75.7
LSU,111.15646072165,102.13534020619,0.72578863317235,5–5,5,10,51.2,51,38.1,34,18.9,16.1,31.8,31.3,69.4,48.3,53,37.4,31.7,9.8,12.2,41.4,43.7,35.9,36.5,69.6,,,,2024,,,,-1,71.6,74.9
"Fresno St.",100.59327765797,109.55158259764,0.27268033454597,2–8,2,10,47,54.8,29.7,33.6,16.4,15.1,21.9,33,64.4,47.8,56,30.6,35.4,5,15.3,46.6,56,41.7,41,64.8,,,,2024,,,,-4.1,73.6,71.1
UMKC,100.32755089787,98.017911788163,0.56656162537691,7–3,7,10,51,48.7,34,49.4,16.7,20.5,26.4,25.2,66.5,52.4,52.2,32.8,29.6,11.9,8.7,46.9,50.5,44.4,45.6,66.1,,,,2024,,,,-2.1,78.8,71.4
Baylor,120.8488,101.22939,0.8846516272807,5–5,5,10,52.8,52.3,40.3,28.3,19,13.9,33.2,23.9,65.6,52.3,53.1,35.8,34,6.9,11.6,48.6,59.2,39.5,36.7,65.9,,,,2024,,,,0.8,74.4,78.9
"Oral Roberts",96.372678214677,111.16262465424,0.16221050421959,2–8,2,10,49.4,53.3,22.6,32.7,16.1,14.5,23,25.5,68.2,51.3,51.8,31.5,37.2,6.2,7,41.5,47.4,46.3,37.9,68.5,,,,2024,,,,-6.8,75.2,75.5
Ohio,106.80674595745,102.11590595745,0.62632775944481,7–3,7,10,51.8,48.9,30.8,31.5,14.2,21.5,27.8,33.2,67.6,50.5,47.2,35.6,34.7,9.2,13.6,54.5,45.4,45,35.9,67.5,,,,2024,,,,-1.6,76.8,68.9
Winthrop,106.10095732036,109.38042293562,0.41336548368679,3–7,3,10,52.2,52.5,45,37.6,17.3,18.5,30,31.9,67.3,56.5,48.9,30.4,38.2,9.6,9.3,43.1,46.6,39.1,42.4,67.5,,,,2024,,,,-5.6,68.3,76.3
"Northern Illinois",97.465117738539,112.68227049255,0.15863871499906,4–6,4,10,47.7,52.8,34.2,34.1,19.6,14.7,32,28.1,66.5,49.6,50.5,29.9,37.3,12.7,9.3,40.8,64.2,40.1,42.1,66.6,,,,2024,,,,-4.6,65.4,62.6
"Georgia Tech",105.61901545327,104.43051188836,0.53248919222602,4–6,4,10,47.3,50.1,25.3,27.9,18.5,11.4,28.3,23.3,67.6,47.5,50.3,31.4,33.2,7.8,9,57.1,55.4,41.1,40.2,68,,,,2024,,,,-2.3,78.9,80.8
"Kent St.",105.10211,103.925,0.53233555437705,5–5,5,10,50.2,48.5,22.8,34.6,14,17.1,30.9,26.9,65.2,48,49.6,35.9,31.2,7.8,6.7,47.3,46.4,38.9,36.6,65.3,,,,2024,,,,-3.4,68.3,77.1
Marquette,122.8666,96.87225,0.9389815932983,7–3,7,10,56,50,26,26.2,13.3,17.9,23.4,31.9,68.5,54,49.7,39.5,33.6,12.9,11,49.1,64.1,38.5,44.1,68.1,,,,2024,,,,2.3,66.2,75.5
"Weber St.",107.9427537778,108.08647434413,0.49617469699901,7–3,7,10,54.7,55.2,33,30.9,14.2,19.9,22.2,26.6,67.6,55.5,53.2,35.6,39,6.1,6.6,40.6,48.5,36.4,37.5,67.3,,,,2024,,,,-1.9,72,72.8
Maine,94.692691098809,101.64988346414,0.30675754450836,5–5,5,10,45.3,48.6,33.2,29.1,15.3,19.3,23.5,27.4,68.9,47.9,47.8,26.5,33.5,10.2,9.6,45.7,50.8,31.4,34.1,66,,,,2024,,,,-3.8,69.9,74.4
"Sam Houston St.",111.86180603865,100.51610675889,0.7737979067621,8–2,8,10,54.4,46.2,38.1,41.6,19.9,19,32.8,28.1,66.9,50.6,45.9,40.7,31.1,4.9,10.4,50.8,44.2,35.9,39,67.5,,,,2024,,,,-0.6,74.3,68.2
"Incarnate Word",92.079229345709,116.73007898201,0.061342896702638,1–9,1,10,47.7,52.1,36.1,41.3,23,14.3,32.8,27.2,71.3,48.2,48.2,31.4,39.6,10.1,8.5,47.5,54.9,38.7,34.3,71.4,,,,2024,,,,-8,70.7,67.5
"St. Francis PA",92.772768360837,119.77941137486,0.050295532512211,1–9,1,10,47.7,51.9,36.5,37.5,20.5,16.3,32.8,27.1,65.5,45.1,51.6,35.7,34.9,9.9,11.9,50,52,30.8,39.1,65.5,,,,2024,,,,-8.4,57.3,70.4
SMU,112.77120007974,106.21493989367,0.66570136073545,4–6,4,10,48,53.9,32.9,39.4,15.7,18.4,39.7,31.3,69.4,45.9,50,34.5,40.7,12.1,12.4,52.6,54.7,36.3,34.9,68.7,,,,2024,,,,-2.9,68.1,77.3
Richmond,106.76734408163,99.572154285714,0.69047693814316,6–4,6,10,52.2,49.9,29.3,28.6,13.2,16.8,17.8,27.4,66.5,51.5,48,35.8,35.3,8.3,7.6,53.7,48.6,34.1,38.8,66.5,,,,2024,,,,-1.3,70.6,76.7
Providence,110.11545815303,100.05620457019,0.75057281746928,5–5,5,10,49.7,50.7,28.2,30.4,16.7,14.1,29.7,27.8,65.8,50.5,46.6,32.6,38.6,12.7,9.2,55.8,52.2,49,36.3,66.2,,,,2024,,,,-0.5,77.2,69.3
Louisville,105.22670245808,108.11269160315,0.4228326349068,1–9,1,10,48.8,58,34,36.8,18.6,15,25.1,25.9,70.1,50.3,52.9,30.4,43.7,7.9,9.2,47,58.2,31.7,40.3,70.1,,,,2024,,,,-5,74.7,71.1
Davidson,102.97806619434,100.14409253564,0.57954803999081,2–8,2,10,47.2,48.7,31.1,37.8,16.9,18.3,25.1,31.4,65.5,50.1,49,28.2,32.1,13.4,10.6,51.9,50.2,36.6,39.7,66,,,,2024,,,,-5.1,74.9,71.4
